ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP5095	Overview of proinflammatory and profibrotic mediators	37/343	73/5959	2.69371884686376e-27	1.05863150681746e-24	8.39306082812288e-25	6356/6361/6362/6347/6364/6370/6348/6351/9560/1437/1440/2919/3627/6373/284340/2920/2921/6374/6372/4283/3458/3589/3605/29949/3552/3553/3557/51561/11009/3569/4312/4314/4318/5008/5196/6696/7124	37
WP5115	Network map of SARS-CoV-2 signaling pathway	39/343	190/5959	1.15423956603013e-12	2.2680807472492e-10	1.79818374497325e-10	59272/335/8542/838/6356/6347/6364/6348/6351/629/3426/1294/2919/3627/2920/2921/6374/6372/4283/3577/3579/84985/10964/10410/3458/3605/8807/3552/3553/3569/3699/5196/5743/6288/6289/6403/5054/6772/7124	39
WP5055	Burn wound healing	26/343	93/5959	5.23885259608443e-12	6.8628969008706e-10	5.44105392435435e-10	8038/6347/1277/1278/2919/3579/3082/3383/3552/3553/3569/3624/3853/4312/4322/4313/4314/4318/64332/6280/6423/7076/7097/51311/3371/7124	26
WP5039	SARS-CoV-2 innate immunity evasion and cell-specific immune response	19/343	63/5959	1.01101799463571e-09	6.80017251850143e-08	5.39132466981766e-08	59272/6347/6348/6351/1437/2919/3627/6373/284340/2920/2921/6374/6372/4283/3579/3569/5196/6772/7124	19
WP3617	Photodynamic therapy-induced NF-kB survival signaling	14/343	33/5959	1.01748220824134e-09	6.80017251850143e-08	5.39132466981766e-08	597/1437/2920/3383/3552/3553/3569/4312/4313/4314/4318/5743/6401/7124	14
WP5088	Prostaglandin signaling	13/343	28/5959	1.03819427763381e-09	6.80017251850143e-08	5.39132466981766e-08	6347/6348/2919/3627/4283/3458/3605/3552/3553/3569/4318/9536/7124	13
WP3624	Lung fibrosis	17/343	52/5959	1.94915018956871e-09	1.09430860642929e-07	8.67591663326824e-08	6356/6347/6348/6351/1232/1437/1440/2920/3082/3553/3569/4313/4318/5328/6696/7076/7124	17
WP4891	COVID-19 adverse outcome pathway	9/343	13/5959	3.64795730858466e-09	1.75675530191349e-07	1.39279381107913e-07	59272/6347/6348/1440/3627/3553/3559/3569/7124	9
WP2806	Complement system	20/343	75/5959	4.02310374484004e-09	1.75675530191349e-07	1.39279381107913e-07	133/335/717/722/728/1604/629/3426/2214/2219/2357/2769/3383/3687/5648/5329/6401/6403/6696/7097	20
WP530	Cytokines and inflammatory response	10/343	19/5959	2.03545090751828e-08	7.99932206654685e-07	6.34203651184644e-07	1437/1440/2919/2920/3458/3589/3552/3553/3569/7124	10
