ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP5095	Overview of proinflammatory and profibrotic mediators	45/699	73/5959	1.8048607486787e-24	8.32040805140881e-22	6.70648257140612e-22	6356/6357/6361/6362/6363/6347/6364/6367/6369/6370/10344/6348/6351/9560/6355/1437/1440/2919/3627/6373/284340/2920/2921/6374/6372/4283/3458/3586/3589/3605/29949/3552/3553/3557/51561/11009/90865/3569/4312/4314/4318/5008/5196/6696/7124	45
WP2806	Complement system	32/699	75/5959	9.43200715476636e-12	2.17407764917365e-09	1.75236764506975e-09	133/335/715/717/718/720/722/728/27202/729/958/1604/22918/629/3426/5199/1378/2160/2214/2219/2357/2769/3383/3673/3687/5648/5329/6401/6402/6403/6696/7097	32
WP5115	Network map of SARS-CoV-2 signaling pathway	54/699	190/5959	1.72653063544361e-10	2.65310207646501e-08	2.13847478705822e-08	183/335/350/8542/715/838/6356/6347/6364/6367/10344/6348/6351/6355/629/3426/5199/1294/2919/3627/2920/2921/6374/6372/4283/3577/3579/84985/3091/10964/8519/10410/3458/3586/3605/8807/3552/3553/90865/3569/3699/116844/64386/114548/4939/5196/5743/6241/6288/6289/6403/5054/6772/7124	54
WP5055	Burn wound healing	34/699	93/5959	3.40124440410244e-10	3.91993417572807e-08	3.1595770385478e-08	8038/6347/1277/1278/2919/3579/2200/3082/3383/3552/3553/3569/3624/3791/3853/440823/4312/4322/4313/4314/4318/64332/5159/6282/6280/6423/6678/7042/7043/7076/7097/51311/3371/7124	34
WP2328	Allograft Rejection	28/699	76/5959	1.0385917064405e-08	9.57581553338144e-07	7.71837626049469e-07	5243/185/717/718/720/721/729/6363/958/1604/941/1493/6373/4283/50943/3002/3112/3119/3458/3586/3605/3552/3553/3559/120892/5551/6772/7124	28
WP2882	Nuclear receptors meta-pathway	63/699	268/5959	2.26683006059671e-08	1.74168109655847e-06	1.4038438796327e-06	5243/1244/64240/64241/51129/335/345/8553/330/874/6347/6364/1545/1557/1559/1576/1551/1907/1969/9982/2938/2939/1839/3082/3458/3589/3553/23764/4199/8431/9970/3084/5105/5142/5743/6286/6319/5272/1836/6514/6515/29986/115584/159963/6527/200010/11254/340024/6532/6533/23657/8140/5552/27286/2040/6822/7042/7056/7124/84951/54657/54578/7364	63
WP5088	Prostaglandin signaling	15/699	28/5959	8.16152691495212e-08	5.37494843970418e-06	4.33235939996707e-06	834/6347/6348/2919/3627/4283/3458/3605/3552/3553/3569/4318/114548/9536/7124	15
WP4891	COVID-19 adverse outcome pathway	10/699	13/5959	9.54498451451e-08	5.50029732648639e-06	4.43339412318688e-06	183/6347/6348/1440/3627/3586/3553/3559/3569/7124	10
WP3624	Lung fibrosis	21/699	52/5959	1.17916629537217e-07	6.0399518018508e-06	4.86837078674126e-06	6356/6347/6348/6351/1232/1437/1440/2920/57105/2246/2252/26585/3082/3553/3569/4313/4318/5328/6696/7076/7124	21
WP2877	Vitamin D receptor pathway	39/699	142/5959	1.76492441042561e-07	8.13630153206208e-06	6.55808754610781e-06	5243/11096/248/604/768/838/958/634/9075/1493/1594/1559/1565/29785/1576/168002/1673/50486/3091/3488/9173/5653/4600/5368/639/5744/6273/6279/6280/10568/6696/6699/79689/412/6822/7042/7056/4982/54210	39
WP691	Tamoxifen metabolism	11/699	17/5959	3.41241655813026e-07	1.43011275754368e-05	1.15271104786601e-05	1545/1557/1558/1559/1565/1576/2326/2328/6822/54657/7364	11
WP129	Matrix metalloproteinases	13/699	24/5959	5.19059727198445e-07	1.99405445198736e-05	1.60726389211448e-05	4312/4319/4321/4322/4327/4313/10893/64386/4314/4316/4318/7076/7124	13
WP5039	SARS-CoV-2 innate immunity evasion and cell-specific immune response	22/699	63/5959	1.16605481492995e-06	4.13500976679006e-05	3.33293400542731e-05	6347/6348/6351/1437/2919/3627/6373/284340/2920/2921/6374/6372/4283/3579/8519/3586/3569/3902/5196/6772/7020/7124	22
WP3617	Photodynamic therapy-induced NF-kB survival signaling	15/699	33/5959	1.28175547036898e-06	4.22063765600071e-05	3.40195248902443e-05	597/330/1437/2920/3383/3552/3553/3569/4312/4313/4314/4318/5743/6401/7124	15
WP702	Metapathway biotransformation Phase I and II	34/699	125/5959	1.39998778579465e-06	4.30262912834223e-05	3.46803991849483e-05	50515/166012/9435/9469/1545/56603/1594/1557/1558/1559/1565/29785/54905/1576/1551/8529/260293/9420/2326/2327/2328/9514/92292/2938/2939/90161/9027/4837/6799/6822/54657/54578/79799/7364	34
