ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP5095	Overview of proinflammatory and profibrotic mediators	33/326	73/5959	4.07043960572762e-23	1.55897836899368e-20	1.30254067383284e-20	6356/6362/6347/6364/6368/6348/6351/9560/6355/1437/1440/2919/3627/6373/284340/2920/2921/6374/6372/4283/3458/3589/3605/3552/3553/3557/11009/3569/4312/4314/5008/5196/6696	33
WP5055	Burn wound healing	30/326	93/5959	3.61515710268258e-16	6.92302585163713e-14	5.78425136429212e-14	8038/6347/57124/1277/1278/2919/3579/10468/3082/3383/3552/3553/3569/3624/3853/4312/4322/4313/4314/64332/64127/6280/8796/6423/7042/7043/7076/7097/51311/3371	30
WP5115	Network map of SARS-CoV-2 signaling pathway	36/326	190/5959	2.36358577409336e-11	3.01751117159252e-09	2.52115815903291e-09	6356/6347/6364/6348/6351/6355/1051/3426/1294/2919/3627/2920/2921/6374/6372/4283/3577/3579/84985/2247/10410/3458/3605/3552/3553/3569/3699/5196/5743/6288/6289/6403/5104/5054/6772/7018	36
WP3624	Lung fibrosis	18/326	52/5959	9.43606367752742e-11	9.0350309712325e-09	7.54885094202193e-09	6356/6347/6348/6351/1051/1437/1440/2920/2247/2252/26585/3082/3553/3569/4313/5328/6696/7076	18
WP5039	SARS-CoV-2 innate immunity evasion and cell-specific immune response	18/326	63/5959	3.28957467411005e-09	2.5198142003683e-07	2.10532779143043e-07	6347/6348/6351/1437/2919/3627/6373/284340/2920/2921/6374/6372/4283/3579/3569/5196/6772/7020	18
WP2431	Spinal cord injury	22/326	98/5959	8.44229778085383e-09	5.38900008344503e-07	4.50255881645537e-07	63827/6347/1280/1282/2919/3627/2920/2212/2697/3383/3458/3552/3553/3569/10288/11025/4321/4843/5743/6403/6869/1462	22
WP2806	Complement system	19/326	75/5959	1.0856259211811e-08	5.93992468303372e-07	4.96286135397073e-07	722/728/27202/729/1604/22918/3426/10332/1380/2214/2219/2357/2769/3383/5648/6401/6403/6696/7097	19
WP4462	Platelet-mediated interactions with vascular and circulating cells	9/326	17/5959	6.48529684617582e-08	3.10483586510667e-06	2.59411873847033e-06	6347/3383/3553/5196/6401/6403/7042/7043/7097	9
WP5088	Prostaglandin signaling	11/326	28/5959	1.03178370853926e-07	4.15022636214108e-06	3.46755205191944e-06	6347/6348/2919/3627/4283/3458/3605/3552/3553/3569/9536	11
WP2848	Pluripotent stem cell differentiation pathway	12/326	34/5959	1.08361001622482e-07	4.15022636214108e-06	3.46755205191944e-06	3577/2255/2247/10468/3082/3589/3569/3624/7018/7043/7472/7474	12
WP24	Peptide GPCRs	13/326	41/5959	1.35715250131414e-07	4.72535825457561e-06	3.94808000382296e-06	728/1230/1237/3577/3579/1909/2357/2358/4886/4887/5540/6869/7253	13
WP530	Cytokines and inflammatory response	9/326	19/5959	2.23445676331425e-07	7.13164116957798e-06	5.958551368838e-06	1437/1440/2919/2920/3458/3589/3552/3553/3569	9
WP4754	IL-18 signaling pathway	33/326	239/5959	5.72596010377813e-07	1.68695593826694e-05	1.40946710246846e-05	6362/6347/6364/6348/6351/1051/9076/1277/1278/1281/2920/2921/338442/3383/3458/3553/3559/3569/4312/4322/4313/4314/4688/64332/4843/7941/5743/9021/6696/6869/7018/7076/79931	33
WP3617	Photodynamic therapy-induced NF-kB survival signaling	11/326	33/5959	7.25860979660954e-07	1.98574825150104e-05	1.65911081065361e-05	1437/2920/3383/3552/3553/3569/4312/4313/4314/5743/6401	11
WP2911	miRNA targets in ECM and membrane receptors	9/326	22/5959	1.03891385590102e-06	2.65269337873393e-05	2.21634955925551e-05	1278/1281/1282/1284/1289/1290/50509/1293/7058	9
WP4891	COVID-19 adverse outcome pathway	7/326	13/5959	1.7751767914766e-06	4.24932944459712e-05	3.5503535829532e-05	6347/6348/1440/3627/3553/3559/3569	7
WP129	Matrix metalloproteinases	9/326	24/5959	2.47654284049823e-06	5.57950534065189e-05	4.66172769976137e-05	4312/4319/4321/4322/4327/4313/4314/4316/7076	9
WP455	GPCRs, class A rhodopsin-like	20/326	118/5959	4.81752837468018e-06	0.000102506298194584	8.56449488832032e-05	27202/1230/1237/3577/3579/1909/2151/2867/2357/2358/2828/8843/3274/64106/4886/4887/5540/5724/5739/56670	20
WP558	Complement and coagulation cascades	12/326	48/5959	6.86536142723341e-06	0.000138391232980547	0.000115627139827089	728/729/1604/3426/1380/2153/5648/5328/5104/5054/7056/7450	12
WP2865	IL1 and megakaryocytes in obesity	8/326	23/5959	1.75142051157519e-05	0.000335397027966648	0.00028022728185203	6347/3383/3458/3553/7941/6280/7076/7097	8
